"Komisi","SKPD","Kegiatan","Perubahan.Baru","PembahasanDPRD.Tambah.P","PembahasanDPRD.Kurang.P","PembahasanDPRD.Baru.P"
"A","BADAN KESATUAN BANGSA dan POLITIK","Implementasi Pancasila dan Perkembangannya dalam Kehidupan Bermasyarakat 4 Angkatan","NA","1200000000","NA","1200000000"
"A","BADAN KESATUAN BANGSA dan POLITIK","Peningkatan Pengembangan Demokrasi Pancasila di 7 Kampus se Provinsi DKI Jakarta","NA","700000000","NA","700000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Integrasi E-Bugdeting","NA","200000000","NA","200000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Integrasi Sistem Remunerasi Pemprov. DKI Jakarta","NA","200000000","NA","200000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Monitoring dan Analisis Berita di Media Online dan Media Sosial Secara Real Time","NA","111000000","NA","111000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Penambahan Perangkat Keras dan Lunak Colocation Server beritajakarta.com","NA","289000000","NA","289000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengadaan Alat Ukur, Sarana dan Prasarana Pendukung Operasional Pengendalian Menara","NA","350000000","NA","350000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengadaan Aplikasi Pengaduan Masyarakat Berbasis Peta Digital Enterprise","NA","3500000000","NA","3500000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengadaan Mesin Absensi di 5 Samsat","NA","40000000","NA","40000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengadaan Sistem E-Kinerja Pendukung Kebijakan Remunerasi","NA","200000000","NA","200000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengadaan Sofware Database PTSP","NA","193080000","NA","193080000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengembangan Sistem Informasi Pelayanan Publik","NA","200000000","NA","200000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Pengembangan Sistem Informasi penganggaran dan Penyediaan Dana","NA","372560000","NA","372560000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Penyusunan Kamus dan Standar Kompetensi Jabatan untuk Indikator Kinerja di Dinas Komunikasi, Informatika dan Kehumasan","NA","200000000","NA","200000000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Sewa Jaringan Komunikasi WAN dan Bandwidth Internet","NA","3653006000","NA","3653006000"
"A","DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN","Upgrade BTS Radio Trunking ROHDE & SCHWARZ (R&S)","NA","9900000000","NA","9900000000"
